S	SGEHEAPRUNMARKER	20	game
F	0	8	leListEntry
F	8	2	nElement
F	10	2	nLength
F	12	4	dwRefCount
F	16	4	pvBaseAddress
S	mmtime_tag	12	game
F	0	4	wType
F	4	8	u
S	PMD	12	game
F	0	4	mdisp
F	4	4	pdisp
F	8	4	vdisp
S	smplacement_t	212	game
F	0	32	name
F	32	4	libPartIndex
F	36	12	pos
F	48	12	rot
F	60	12	scale
F	72	48	matrix
F	120	48	invMatrix
F	168	4	flags
F	172	4	pPlcVerts
F	176	4	pSMTris
F	180	4	pPlcTris
F	184	4	pGeosets
F	188	4	pVertNormals
F	192	4	pVertColors
F	196	4	pPlanes
F	200	4	nPlanes
F	204	4	ppTriLists
F	208	4	nVerts
S	smcolor_t	12	game
F	0	4	r
F	4	4	g
F	8	4	b
S	smworld_t	336	game
F	0	128	name
F	128	1	fHasDevData
F	129	3	__align0
F	132	4	pPlacements
F	136	4	nPlacements
F	140	4	pLibParts
F	144	4	nLibParts
F	148	4	pTextures
F	152	4	nTextures
F	156	4	pLights
F	160	4	nLights
F	164	12	ambientColor
F	176	92	sky
F	268	4	pSMModels
F	272	4	nSMModels
F	276	4	nAI
F	280	4	apAI
F	284	4	nEmit
F	288	4	cEmit
F	292	4	nEmitMax
F	296	4	pEmit
F	300	12	cameraOffset
F	312	12	cameraStartPos
F	324	12	cameraTargetPos
S	smlibpart_t	112	game
F	0	32	name
F	32	4	pVerts
F	36	4	nVerts
F	40	4	pSMTris
F	44	4	nTris
F	48	4	pVertNormals
F	52	4	pTexCoords
F	56	12	min
F	68	12	max
F	80	4	nTexCoords
F	84	4	pGeosets
F	88	4	nGeosets
F	92	4	flags
F	96	4	listId
F	100	12	pad
S	smlight_t	104	game
F	0	32	name
F	32	12	pos
F	44	12	color
F	56	4	radius
F	60	4	type
F	64	12	dir
F	76	4	coneAngle
F	80	4	intensity
F	84	4	flags
F	88	4	pLightRays
F	92	4	nLightRays
F	96	4	maxLightRays
F	100	4	fallStart
S	smsky_t	92	game
F	0	4	cloud0
F	4	4	cloud1
F	8	4	east
F	12	4	west
F	16	4	north
F	20	4	south
F	24	4	up
F	28	4	down
F	32	12	dir0
F	44	4	speed0
F	48	4	scale0
F	52	4	alpha0
F	56	12	dir1
F	68	4	speed1
F	72	4	scale1
F	76	4	alpha1
F	80	12	ambientColor
S	smemitplace_t	152	game
F	0	32	name
F	32	4	num
F	36	4	handle
F	40	4	folder
F	44	4	used
F	48	12	location
F	60	4	activeRange
F	64	32	aTName
F	96	12	orient
F	108	12	up
F	120	4	multiplier
F	124	4	emitFlags
F	128	4	rate
F	132	4	flags
F	136	12	pad
F	148	4	activeID
S	smtrilink_s	16	game
F	0	4	pTri
F	4	4	pMap
F	8	4	pVerts
F	12	4	pNext
S	smtri_t	152	game
F	0	4	tex
F	4	12	vi
F	16	12	tc
F	28	4	flags
F	32	12	n
F	44	12	s
F	56	12	t
F	68	12	bp
F	80	8	stshift
F	88	36	edgeInnerNormals
F	124	12	min
F	136	12	max
F	148	4	backfaceConst
S	smtexture_t	32	game
F	0	4	pTexture
F	4	24	uv
F	28	4	pData
S	smlightray_t	20	game
F	0	12	end
F	12	4	placement
F	16	4	face
S	smplctri_t	8	game
F	0	4	flags
F	4	4	pMap
S	smgeoset_t	44	game
F	0	4	nTris
F	4	4	startTri
F	8	4	texture
F	12	4	envmap
F	16	4	flags
F	20	4	nStripStart
F	24	4	nStripLength
F	28	4	listId
F	32	12	pad
S	smplane_t	204	game
F	0	4	pTriList
F	4	12	n
F	16	12	s
F	28	12	t
F	40	12	bp
F	52	8	stshift
F	60	48	edgeInnerNormals
F	108	48	verts
F	156	32	uv
F	188	4	w
F	192	4	h
F	196	4	pData
F	200	4	pTexture
S	enemy	916	game
F	0	4	type
F	4	104	objgrp
F	108	72	atree
F	180	4	state
F	184	20	atts
F	204	4	action
F	208	4	daction
F	212	264	actionlist
F	476	4	shadow
F	480	4	specialfx
F	484	24	skinfx
F	508	2	gridnext
F	510	2	area
F	512	4	health
F	516	2	damage_count
F	518	2	org_lvl
F	520	4	attack_timer
F	524	4	stun_timer
F	528	12	trans
F	540	4	flooroffset
F	544	12	attn_offset
F	556	12	coll_offset
F	568	4	rad
F	572	4	hht
F	576	12	pyr
F	588	4	ang
F	592	4	angbak
F	596	4	anghit
F	600	4	genang_offset
F	604	12	pushed
F	616	4	pushang
F	620	4	pushmag2
F	624	4	push_cnt
F	628	2	closest
F	630	2	prev_closest
F	632	4	close_dist
F	636	4	actual_dist
F	640	2	moved
F	642	2	stopped
F	644	4	coll_pnum
F	648	4	coll_enenum
F	652	4	coll_ip
F	656	4	generator
F	660	4	floory
F	664	4	floor_wobj
F	668	4	floor_surf
F	672	4	damage
F	676	4	damagetype
F	680	12	damagedir
F	692	20	fxhittime
F	712	4	fxhitidx
F	716	2	attack_index
F	718	2	attack_count
F	720	4	attack_flag
F	724	2	endurance
F	726	2	watchdog
F	728	2	birth_style
F	730	2	visible
F	732	2	visactive
F	734	2	recognized
F	736	12	dest
F	748	12	birth_pos
F	760	4	sensor
F	764	4	view
F	768	4	sight
F	772	4	xspd
F	776	4	zspd
F	780	4	prev_dir
F	784	2	algorithm
F	786	2	old_ai
F	788	2	prev_ai
F	790	2	mode1
F	792	2	mode2
F	794	2	__align0
F	796	4	flag1
F	800	4	flag2
F	804	4	counter1
F	808	4	counter2
F	812	4	skip_itemcol
F	816	4	ai_flags
F	820	4	prev_enemy
F	824	4	next_enemy
F	828	4	guard_mode
F	832	4	guard_closest
F	836	4	guard_dist
F	840	4	plr_ms
F	844	4	ms_idx
F	848	4	max_msidx
F	852	4	route
F	856	4	dead_end
F	860	4	count
F	864	4	lost
F	868	2	collided
F	870	2	stuck_count
F	872	4	operation_speed
F	876	4	operation_count
F	880	4	lv
F	884	4	play
F	888	4	idle_time
F	892	4	idle_secs
F	896	4	idle_frac
F	900	4	gotitem
F	904	4	alpha
F	908	4	prev_frame
F	912	4	anim_done
S	enemy_data	24	game
F	0	4	type
F	4	4	subtype
F	8	8	audname
F	16	8	desc
S	enemydata	20	game
F	0	2	etype
F	2	1	strength
F	3	1	ai
F	4	4	ang
F	8	4	flags
F	12	4	rad
F	16	2	interval
F	18	2	pickup
S	enemyinfo	12	game
F	0	2	strength
F	2	2	ai
F	4	4	rad
F	8	2	interval
F	10	2	dummy
S	playermodelinfo	76	game
F	0	4	ptype
F	4	4	color
F	8	4	level
F	12	4	hidden
F	16	4	modelidx
F	20	4	atreeidx
F	24	4	maxmodelsize
F	28	4	maxanimsize
F	32	4	maxtexturesize
F	36	4	atreelist
F	40	4	maxgeoanimsize
F	44	4	geoatreeidx
F	48	4	geoatreelist
F	52	4	sfxmodelidx
F	56	4	sfxatreeidx
F	60	4	sfxmaxmodelsize
F	64	4	sfxmaxanimsize
F	68	4	sfxmaxtexturesize
F	72	4	sfxatreelist
S	smmodel_t	264	game
F	0	32	name
F	32	96	physics
F	128	4	scale
F	132	4	speed
F	136	4	dir
F	140	4	aiNum
F	144	4	nWay
F	148	4	pWay
F	152	4	pEnemy
F	156	4	anim
F	160	1	fPlayAnimBackwards
